商品ID,商品名稱,商品連結,價格,留言,留言ID,留言者名稱,留言時間,商品 Type,留言 圖,isLike,isShowLike,留言 likeCount,留言 replyContent,留言 replyDate,留言星數,videoThumbnailImg,videoUrl
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,這次是回購，這個型號吸力夠，又輕巧方便，續行力還蠻久的，打掃房間的好工具~,250107387516231,*心*,2025/01/08,無,['https://image.momo.dm/comments/25010499837089/13384683/001/image_2300591601944737695.jpg'],False,True,1,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,小巧好用，電腦防塵濾網清潔好幫手,250106139301940,*盈*,2025/01/07,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,出貨速度快，價格優惠，品質不錯，CP值很高，值得再購入，有需要會再回購，推推！！,241224099644343,*子*,2025/01/04,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,CP值很高的商品，非常好用👍,241217092926811,*宗*,2025/01/04,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,回購商品,241224103713014,*淑*,2024/12/31,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,交換禮物很適合，朋友很喜歡,241221018773561,*淞*,2024/12/31,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,已購買2次了，cp值很高👍,241215705794480,*銜*,2024/12/30,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,小巧精緻，吸力蠻強，配件如果能加配就更值得購買，物流效率待改善,241225115464770,*國*,2024/12/25,無,['https://image.momo.dm/comments/24122206912544/13384683/001/image_1127457349357396392.jpg'],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,"超快的出貨速度，以及超讚的商品品質，值得再次回來購買及觀看商品唷！
",241219176284584,*茹*,2024/12/23,無,['https://image.momo.dm/comments/24121799101511/13384683/001/1734914163.888527.jpg'],False,True,0,,,5,https://image.momo.dm/comments/24121799101511/13384683/001/video_720p_00001.png,https://image.momo.dm/comments/24121799101511/13384683/001/video_720p.mp4
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,輕巧，吸力普通，第二段較強，但用約10分鐘就沒電了。,241222318768901,*季*,2024/12/22,無,[],False,True,1,,,3.5,,
